GPU,Title,Model,Total Parameters,Image Size,Batch Size,Train Images,Validation Images,Test Images,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training Duration (seconds),Training Duration (hours),Total Epoch
RTX 4090,"EfficientNetB0 Modified, 0% Freeze, None",EfficientNetB0,3.163.118,"(224, 224)",32,2040,510,1730,1.0,0.0006445852341130376,1.0,0.003112270962446928,0.38323700428009033,7.106122016906738,1388,0.3856663595305549,99
RTX 4090,"EfficientNetB1 Modified, 0% Freeze, None",EfficientNetB1,4.884.358,"(240, 240)",32,2040,510,1730,0.9990196228027344,0.004216149915009737,0.998039186000824,0.004465368576347828,0.3803468346595764,6.046000003814697,1430,0.39721366743246717,99
RTX 4090,"EfficientNetB2 Modified, 0% Freeze, None",EfficientNetB2,5.639.678,"(260, 260)",32,2040,510,1730,1.0,0.0010612586047500372,1.0,0.00035431436845101416,0.3531791865825653,5.508208751678467,1652,0.45884506821632387,99
RTX 4090,"EfficientNetB3 Modified, 0% Freeze, None",EfficientNetB3,6.627.118,"(300, 300)",32,2040,510,1730,0.9916666746139526,0.02489802986383438,0.9960784316062927,0.024833327159285545,0.38612717390060425,4.752033233642578,2031,0.5641134569380019,99
RTX 4090,"EfficientNetB4 Modified, 0% Freeze, None",EfficientNetB4,8.754.426,"(380, 380)",32,2040,510,1730,0.9965686202049255,0.013799400068819523,0.9960784316062927,0.010006921365857124,0.2988439202308655,10.175653457641602,2940,0.8166226935386658,99
RTX 4090,"EfficientNetB0 Modified, 0% Freeze, None",EfficientNetB0,3.163.118,"(224, 224)",64,2040,510,1730,0.9740195870399475,0.06255833804607391,0.7372549176216125,0.9047590494155884,0.25953757762908936,2.1219112873077393,235,0.0654147293832567,13
RTX 4090,"EfficientNetB1 Modified, 0% Freeze, None",EfficientNetB1,4.884.358,"(240, 240)",64,2040,510,1730,0.9642156958580017,0.09715691953897476,0.6509804129600525,0.8303853273391724,0.281502902507782,1.8414846658706665,259,0.07188548028469086,13
RTX 4090,"EfficientNetB2 Modified, 0% Freeze, None",EfficientNetB2,5.639.678,"(260, 260)",64,2040,510,1730,0.9421568512916565,0.1578780561685562,0.6450980305671692,0.9621320366859436,0.3595375716686249,1.1134953498840332,234,0.06510655012395647,10
RTX 4090,"EfficientNetB3 Modified, 0% Freeze, None",EfficientNetB3,6.627.118,"(300, 300)",64,2040,510,1730,0.95686274766922,0.12285032868385315,0.24705882370471954,1.1569849252700806,0.342196524143219,1.1324357986450195,286,0.07950250599119399,10
RTX 4090,"EfficientNetB4 Modified, 0% Freeze, None",EfficientNetB4,8.754.426,"(380, 380)",64,2040,510,1730,0.9754902124404907,0.07686349749565125,0.24705882370471954,1.7423582077026367,0.342196524143219,1.3634384870529175,388,0.10767526103390587,10
RTX 4090,"EfficientNetB5 Modified, 0% Freeze, None",EfficientNetB5,15.266.438,"(456, 456)",8,2040,510,1730,0.8946078419685364,0.2942712604999542,0.95686274766922,0.15772446990013123,0.30231213569641113,3.2752320766448975,802,0.22273803015549978,20
RTX 4090,"EfficientNetB6 Modified, 0% Freeze, None",EfficientNetB6,19.271.010,"(528, 528)",8,2040,510,1730,0.6563725471496582,0.7685226798057556,0.6921568512916565,0.7582679390907288,0.29017341136932373,1.9146381616592407,693,0.1924413541952769,13
RTX 4090,"EfficientNetB7 Modified, 0% Freeze, None",EfficientNetB7,30.541.122,"(600, 600)",4,2040,510,1730,0.6450980305671692,5.693604469299316,0.6450980305671692,5.720339298248291,0.3595375716686249,10.323051452636719,692,0.19212150322066412,10
RTX 4090,"EfficientNetB7 Modified, 0% Freeze, None",EfficientNetB7,30.541.122,"(600, 600)",8,2040,510,1730,0.6514706015586853,0.8435536026954651,0.6843137145042419,0.8013678193092346,0.3595375716686249,1.6040390729904175,1558,0.4326704807413949,24
RTX 4090,"EfficientNetB0 Modified, 0% Freeze, None, dataset_campuran",EfficientNetB0,3.163.118,"(224, 224)",64,2550,348,1382,0.9921568632125854,0.020531782880425453,0.37931033968925476,1.211212396621704,0.3936324119567871,6.472463130950928,491,0.13629822863472832,24
