blocks_removed,total_params,final_train_accuracy,final_val_accuracy,final_train_loss,final_val_loss,test_accuracy,test_loss,training_time
None,5330571,0.4044862389564514,0.3419540226459503,1.3070234060287476,1.101516604423523,0.24705882370471954,1.2136733531951904,0h:1m:30s
None,5330571,0.9602026343345642,0.959770143032074,0.12251769006252289,0.12106825411319733,0.7364705801010132,1.439582109451294,0h:15m:9s
Block 1,5330563,0.9247467517852783,0.8620689511299133,0.20802439749240875,0.40421590209007263,0.7219607830047607,1.4306942224502563,0h:15m:14s
Block 2,5311649,0.9529666900634766,0.9511494040489197,0.12917391955852509,0.11925727128982544,0.8294117450714111,1.6137858629226685,0h:15m:25s
Block 3,5278395,0.9529666900634766,0.9655172228813171,0.11853379756212234,0.09130460768938065,0.8298039436340332,1.2903066873550415,0h:15m:2s
Block 4,5063161,0.9587554335594177,0.959770143032074,0.1262785643339157,0.1381310373544693,0.8501960635185242,1.379819631576538,0h:15m:14s
Block 5,4757951,0.9479016065597534,0.9425287246704102,0.1473071575164795,0.18393836915493011,0.7976470589637756,1.1174308061599731,0h:15m:18s
Block 6,3194015,0.9363241791725159,0.9367815852165222,0.18727876245975494,0.20903001725673676,0.7454901933670044,1.2491862773895264,0h:15m:1s
Block 7,4444251,0.9652677178382874,0.9425287246704102,0.12199298292398453,0.12275337427854538,0.7937254905700684,0.9553219079971313,0h:15m:16s
Block 5 & 6,2606035,0.9768451452255249,0.9511494040489197,0.06483031809329987,0.1934882253408432,0.8572549223899841,1.2209577560424805,0h:15m:2s
Block 6 & 7,2297455,0.9515195488929749,0.9396551847457886,0.14115183055400848,0.22221170365810394,0.7568627595901489,1.370619297027588,0h:14m:54s
